archdesc-dsc-c01-c02-scopecontent-p-num,2
archdesc-arrangement-list-item-list-item-date,7
archdesc-dsc-c01-c02-c03-c04-c05-c06-did-physdesc-extent,35
archdesc-dsc-c01-c02-originalsloc-p,375
archdesc-separatedmaterial-p-list-item-list-item-list-item-list-item,5
archdesc-separatedmaterial-p-emph,324
archdesc-dsc-c01-c02-c03-c04-c05-did-physdesc,5111
archdesc-dsc-c01-c02-c03-controlaccess-geographic,20
archdesc-scopecontent-p-list-item-span,62
archdesc-bioghist-chronlist-chronitem-event-title,316
archdesc-dsc-c01-c02-scopecontent-p-p,2
archdesc-dsc-c01-c02-scopecontent-p-list-item-emph,7
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-scopecontent-p-title,12
archdesc-arrangement-p-list-item,1564
archdesc-bioghist-bioghist-chronlist-chronitem-event,38
archdesc-dsc-c01-c02-scopecontent-list-item-note-p,1
archdesc-index-indexentry-corpname,3
archdesc-dsc-c01-c02-index-indexentry-ref,484
archdesc-altformavail-head,3
archdesc-dsc-c01-c02-c03-c04-c05-c06-scopecontent-p-title,560
archdesc-dsc-c01-c02-scopecontent-p-list-item-geogname,1
archdesc-separatedmaterial-list-item-list-item-list-item-list-item-list-item,19
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-emph,5
archdesc-controlaccess-corpname,7307
archdesc-scopecontent-p-list-item-title,22
archdesc-dsc-c01-scopecontent-list-item-list-item,22
archdesc-arrangement-head,1
archdesc-bioghist-p-list-item-list-item-list-item-title,471
archdesc-bioghist-p-bibref-name,1
archdesc-did-physdesc-genreform,8
archdesc-phystech-p,1
archdesc-did-abstract-list-item,2
archdesc-did-abstract-list-item-persname,2
archdesc-arrangement-list-item-title,32
archdesc-dsc-c01-c02-did-note-p,28249
archdesc-dsc-c01-c02-arrangement-list-item,117
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-scopecontent-p,682
archdesc-acqinfo-p,3978
archdesc-prefercite-head,1
archdesc-dsc-c01-c02-c03-scopecontent-p-geogname,46
archdesc-dsc-c01-c02-c03-scopecontent-p-title,8479
archdesc-dsc-c01-c02-controlaccess-corpname,2705
archdesc-scopecontent-chronlist-chronitem-date,50
archdesc-dsc-c01-c02-arrangement-list-item-list-item,4
archdesc-dsc-c01-relatedmaterial-p,52
archdesc-scopecontent-p-list-item-date,14
archdesc-dsc-c01-c02-c03-custodhist-p-br,13
archdesc-separatedmaterial-note-p-list-item,3
archdesc-dsc-c01-c02-controlaccess-genreform,2233
archdesc-dsc-c01-scopecontent-p-list-item,313
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-physdesc-extent,1
archdesc-dsc-c01-c02-c03-bibliography-p-br,31
archdesc-dsc-c01-c02-scopecontent-p-title,7369
archdesc-relatedmaterial-list-item-archref-title,2
archdesc-dsc-c01-c02-scopecontent-note-note-p,1
archdesc-dsc-c01-scopecontent-p-title-date,1
archdesc-dsc-c01-scopecontent-list-item,1921
archdesc-bioghist-p-name,33
archdesc-scopecontent-list-item-emph,3
archdesc-dsc-c01-scopecontent-p-famname,6
archdesc-separatedmaterial-list-item-emph,23
archdesc-dsc-c01-c02-c03-c04-c05-controlaccess-title,13
archdesc-dsc-c01-scopecontent-p-date,13
archdesc-bioghist-list-item-list-item,7
archdesc-relatedmaterial-p-unittitle,7
archdesc-originalsloc-p,39
archdesc-scopecontent-p-famname,5
archdesc-prefercite-address-addressline,5
archdesc-dsc-c01-c02-c03-c04-c05-did-physdesc-dimensions,22
archdesc-bioghist-p-blockquote-p,12
archdesc-bioghist-p-list-item-date,29
archdesc-dsc-c01-scopecontent-p-persname-emph,8
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-did-unittitle,2127
archdesc-relatedmaterial-address-addressline,7
archdesc-bibliography-bibref-title-emph,4
archdesc-did-abstract-chronlist-chronitem-event,55
archdesc-acqinfo-p-name,1
archdesc-did-origination-persname,7407
archdesc-dsc-c01-scopecontent-p-title,3634
archdesc-scopecontent-p-list-item,27
archdesc-dsc-c01-c02-c03-scopecontent-div-note-p-title,1
archdesc-dsc-c01-c02-c03-c04-c05-accessrestrict-p,28
archdesc-dsc-c01-scopecontent-p-p-persname,19
archdesc-dsc-c01-c02-did-physdesc-physfacet,38
archdesc-dsc-c01-did-physdesc-extent,6260
archdesc-scopecontent-p-bibref-emph,1
archdesc-bioghist-list-item-bibref,1
